63	10	100
0	0	0
-16	-61	11
-30	-70	20
15	-61	26
-6	20	17
10	-44	5
-56	-75	17
-35	-20	1
-55	-60	15
-30	-74	16
19	-30	22
-60	14	2
-35	-74	22
-16	19	25
-21	-50	20
-5	-34	20
-37	-40	21
-15	-5	26
4	-39	12
24	-49	5
-11	10	11
-36	-24	5
-57	-4	21
-42	-25	17
-40	-14	12
-7	-25	12
-15	19	15
-57	-64	21
-25	16	12
-15	-21	2
0	15	17
-35	0	16
-41	25	15
-75	-35	26
-61	16	12
-55	-64	22
3	6	16
-42	-39	21
-2	24	16
-1	-61	2
-11	-21	6
-21	-65	2
24	-69	6
23	16	10
-51	11	11
-1	-59	1
-46	-30	63
-55	10	10
-1	5	21
-5	-40	7
-20	6	1
-51	1	6
9	1	26
-16	-41	17
-35	-31	10
-70	-20	25
-16	-21	25
-36	21	25
-56	-4	16
18	-30	5
-45	-34	22
-36	-26	17
-20	5	6
