63	9	100
0	0	0
-84	-88	4
-64	-2	18
-70	-46	22
-58	-82	14
-72	6	5
-32	-68	9
-22	-14	7
-80	-20	20
-70	-58	19
-32	-48	7
8	-12	18
-20	-46	20
-38	-10	2
-4	-92	11
-12	-26	10
-32	-28	5
-24	-72	21
-64	-92	20
-10	0	1
-32	-4	15
4	-70	15
-18	-68	14
-50	-68	19
-88	-28	22
-32	-10	21
-8	4	22
-86	-10	6
-20	-58	24
-54	4	14
-62	0	14
-72	-72	2
-8	-80	15
6	-26	21
-60	-10	15
-26	-76	6
-72	-30	23
-32	-70	14
-74	-68	26
-46	-66	15
-2	-86	15
-72	-52	23
-68	-54	7
-68	-72	22
-8	-32	26
-80	0	20
-74	-82	3
-56	-82	2
-70	-34	15
-70	-24	2
-20	-80	21
-28	-80	12
-42	-72	4
-8	-62	10
-50	4	23
-6	-78	4
-14	-20	24
-34	-92	17
-8	-82	2
-90	-18	20
-46	-22	18
-50	-38	19
-46	-80	8
