64	9	100
0	0	0
-40	48	10
-96	0	15
-42	24	23
-68	4	23
-76	6	24
-4	4	17
-92	58	1
-72	-22	4
-50	4	2
-10	-8	5
-30	32	18
-26	56	9
-30	-18	8
-52	46	23
-26	24	13
-68	-32	4
-38	46	18
-4	50	16
-50	8	26
-46	8	16
-74	60	4
-10	62	23
-58	12	8
-52	-26	26
-12	18	16
-62	60	5
-50	46	2
-38	58	21
-14	18	23
-48	32	8
-76	22	5
-46	-12	8
-28	10	26
-60	8	12
-60	62	8
-92	38	3
-60	14	8
-14	40	19
-80	38	16
-92	38	2
-16	-16	3
-38	0	17
-34	54	7
-76	44	5
-26	18	8
-76	-16	4
-88	-26	12
-32	10	19
-72	30	19
-84	24	26
-50	10	24
-20	-24	5
-40	22	8
-76	0	22
-70	26	9
-14	-24	18
-34	36	19
-88	2	15
-72	22	5
-64	-30	11
-44	-22	12
-46	16	54
-88	-10	8
