69	9	100
0	0	0
-50	-21	2
25	24	1
-23	49	6
28	-35	9
-25	-28	16
-19	54	5
13	-1	3
-59	16	9
5	46	12
-48	-36	1
-13	-37	1
-26	10	18
-36	40	10
8	-26	5
-25	49	5
-40	-19	9
-45	-35	16
11	20	12
-1	6	6
-54	34	6
36	-5	20
-21	10	23
-9	29	39
-11	2	17
5	-40	8
-20	-16	2
20	-14	13
2	-8	17
-31	6	3
-8	47	2
9	15	7
-45	-35	23
35	43	10
9	-15	7
-47	47	12
-57	-22	20
-34	-28	13
-48	13	21
-56	7	25
-46	8	5
-50	32	4
-1	-26	13
-19	-5	12
-27	45	23
-50	48	19
-23	-30	10
23	-31	7
-49	-19	15
37	53	5
-39	-23	15
-19	47	13
-26	-13	30
13	30	15
-18	-20	7
31	-24	9
-55	0	23
-5	-22	8
-16	15	5
-56	26	8
35	-28	25
35	10	12
-45	-4	25
-22	-44	24
29	11	8
21	-19	22
-22	20	7
28	3	24
-41	24	18
