
0	0	0
62	23	26
31	35	18
75	41	16
94	13	8
51	7	7
36	-38	11
5	-8	4
5	-47	9
71	20	9
2	-24	16
80	8	7
28	8	6
36	14	1
40	5	2
3	1	22
-1	37	23
92	-44	4
48	22	3
33	21	20
12	-7	7
92	25	1
21	48	2
94	40	12
72	46	22
66	4	6
71	-26	11
90	48	12
2	0	2
22	-38	14
50	24	14
59	-2	2
36	-39	9
88	-33	20
56	-7	2
91	-7	18
6	26	19
11	39	18
32	20	4
82	49	16
33	-28	26
94	31	3
71	39	23
19	-47	16
26	45	10
53	46	9
54	36	21
66	51	24
28	5	24
83	1	19
83	-46	12
-2	-18	16
10	23	6
24	7	2
70	27	2
69	-27	2
31	1	23
49	-46	16
91	-41	26
68	-26	21
52	5	2
24	-31	7
