After sorting
A D X Y 
0 0 0 0
5 2 44 4
5 3 64 6
9 2 58 10
17 25 32 10
21 5 20 8
21 24 59 23
24 18 58 27
25 26 30 14
28 8 46 25
31 18 26 16
36 6 38 28
37 22 34 26
38 23 29 23
56 10 10 15
81 20 5 33
82 13 3 24
146 30 -21 14
220 14 -21 -18
227 17 -21 -23
237 1 -12 -19
242 20 -23 -44
255 1 -6 -23
257 22 -10 -47
259 25 -11 -61
263 16 -6 -55
264 13 -6 -62
276 7 6 -57
276 23 6 -57
284 4 12 -46
289 7 12 -33
290 23 15 -40
296 22 13 -26
304 2 23 -33
312 13 31 -34
313 18 51 -53
315 8 59 -57
320 3 74 -62
321 19 54 -43
323 2 72 -54
324 2 18 -13
326 26 61 -40
328 15 47 -29
329 6 71 -42
329 10 24 -14
333 3 28 -14
334 21 69 -33
342 12 55 -17
343 3 71 -21
344 2 11 -3
347 18 53 -12
349 2 64 -12
358 9 40 -1


CLUSTER 1
A D X Y 
0 0 0 0
146 30 -21 14
220 14 -21 -18
227 17 -21 -23
237 1 -12 -19
242 20 -23 -44
255 1 -6 -23


CLUSTER 2
A D X Y 
0 0 0 0
257 22 -10 -47
259 25 -11 -61
263 16 -6 -55
264 13 -6 -62
276 7 6 -57


CLUSTER 3
A D X Y 
0 0 0 0
276 23 6 -57
284 4 12 -46
289 7 12 -33
290 23 15 -40
296 22 13 -26
304 2 23 -33
312 13 31 -34


CLUSTER 4
A D X Y 
0 0 0 0
313 18 51 -53
315 8 59 -57
320 3 74 -62
321 19 54 -43
323 2 72 -54
324 2 18 -13
326 26 61 -40
328 15 47 -29
329 6 71 -42


CLUSTER 5
A D X Y 
0 0 0 0
329 10 24 -14
333 3 28 -14
334 21 69 -33
342 12 55 -17
343 3 71 -21
344 2 11 -3
347 18 53 -12
349 2 64 -12
358 9 40 -1
5 2 44 4
5 3 64 6
9 2 58 10


CLUSTER 6
A D X Y 
0 0 0 0
17 25 32 10
21 5 20 8
21 24 59 23
24 18 58 27
25 26 30 14


CLUSTER 7
A D X Y 
0 0 0 0
28 8 46 25
31 18 26 16
36 6 38 28
