After sorting
A D X Y 
0 0 0 0
0 2 6 0
0 23 38 0
6 14 36 4
15 6 14 4
44 21 4 4
170 11 -12 2
172 1 -16 2
210 7 -20 -12
231 18 -8 -10
232 11 -26 -34
233 1 -12 -16
234 19 -20 -28
236 5 -24 -36
243 11 -12 -24
248 21 -24 -62
251 9 -26 -80
257 11 -12 -54
258 2 -14 -68
261 17 -8 -54
261 17 -6 -40
264 18 -6 -64
271 9 2 -78
272 2 2 -54
275 16 6 -66
277 9 4 -32
279 24 8 -50
282 6 18 -84
282 20 18 -82
283 11 20 -86
283 42 18 -76
284 9 22 -84
287 48 26 -82
289 20 30 -84
291 9 18 -46
296 23 16 -32
300 17 14 -24
305 10 58 -82
306 2 56 -76
307 24 68 -88
309 13 10 -12
315 4 36 -36
315 18 58 -58
315 18 68 -66
316 19 38 -36
316 21 58 -56
323 5 32 -24
324 9 34 -24
330 5 42 -24
336 19 56 -24
341 3 30 -10
343 24 62 -18
344 2 58 -16
349 22 62 -12
349 23 54 -10
351 2 66 -10
351 20 54 -8
353 17 56 -6
355 18 28 -2
355 21 52 -4


CLUSTER 1
A D X Y 
0 0 0 0
0 2 6 0
0 23 38 0
6 14 36 4
15 6 14 4
44 21 4 4
170 11 -12 2
172 1 -16 2
210 7 -20 -12


CLUSTER 2
A D X Y 
0 0 0 0
231 18 -8 -10
232 11 -26 -34
233 1 -12 -16
234 19 -20 -28
236 5 -24 -36
243 11 -12 -24
248 21 -24 -62
251 9 -26 -80


CLUSTER 3
A D X Y 
0 0 0 0
257 11 -12 -54
258 2 -14 -68
261 17 -8 -54
261 17 -6 -40
264 18 -6 -64
271 9 2 -78
272 2 2 -54
275 16 6 -66


CLUSTER 4
A D X Y 
0 0 0 0
277 9 4 -32
279 24 8 -50
282 6 18 -84
282 20 18 -82
283 11 20 -86


CLUSTER 5
A D X Y 
0 0 0 0
283 42 18 -76
284 9 22 -84
287 48 26 -82


CLUSTER 6
A D X Y 
0 0 0 0
289 20 30 -84
291 9 18 -46
296 23 16 -32
300 17 14 -24
305 10 58 -82
306 2 56 -76


CLUSTER 7
A D X Y 
0 0 0 0
307 24 68 -88
309 13 10 -12
315 4 36 -36
315 18 58 -58
315 18 68 -66
316 19 38 -36


CLUSTER 8
A D X Y 
0 0 0 0
316 21 58 -56
323 5 32 -24
324 9 34 -24
330 5 42 -24
336 19 56 -24
341 3 30 -10
343 24 62 -18
344 2 58 -16


CLUSTER 9
A D X Y 
0 0 0 0
349 22 62 -12
349 23 54 -10
351 2 66 -10
351 20 54 -8
353 17 56 -6


CLUSTER 10
A D X Y 
0 0 0 0
355 18 28 -2
355 21 52 -4


Distance for  Cluster 1

9
0 6 38 36.2215 14.5602 5.65685 12.1655 16.1245 23.3238 
6 0 32 30.2655 8.94427 4.47214 18.1108 22.0907 28.6356 
