After sorting
A D X Y 
0 0 0 0
4 2 28 2
21 2 26 10
26 18 20 10
30 18 34 20
34 10 26 18
36 9 30 22
36 17 8 6
47 10 24 26
51 2 16 20
54 4 30 42
55 5 14 20
61 16 16 30
63 24 24 48
69 4 24 64
72 4 10 32
72 9 20 64
74 2 8 28
74 20 16 58
75 23 24 90
78 16 8 38
83 8 10 86
84 20 8 82
86 18 4 70
89 19 0 6
91 21 -2 78
97 15 -12 88
97 36 -10 80
100 8 -12 62
101 23 -18 88
105 3 -16 56
109 19 -12 34
113 23 -8 18
114 6 -40 88
117 19 -40 78
118 17 -42 78
122 2 -20 32
123 19 -52 80
126 13 -48 64
126 13 -38 52
127 13 -60 78
128 12 -44 56
129 23 -40 48
130 9 -44 52
147 12 -60 38
149 9 -10 6
149 14 -54 32
152 6 -46 24
153 5 -56 28
163 3 -46 14
165 2 -30 8
172 22 -60 8
177 15 -54 2
189 7 -12 -2


CLUSTER 1
A D X Y 
0 0 0 0
147 12 -60 38
149 9 -10 6
149 14 -54 32
152 6 -46 24
153 5 -56 28
163 3 -46 14
165 2 -30 8
172 22 -60 8
177 15 -54 2
189 7 -12 -2
4 2 28 2
21 2 26 10


CLUSTER 2
A D X Y 
0 0 0 0
26 18 20 10
30 18 34 20
34 10 26 18
36 9 30 22
36 17 8 6
47 10 24 26
51 2 16 20
54 4 30 42
55 5 14 20


CLUSTER 3
A D X Y 
0 0 0 0
61 16 16 30
63 24 24 48
69 4 24 64
72 4 10 32
72 9 20 64
74 2 8 28
74 20 16 58


CLUSTER 4
A D X Y 
0 0 0 0
75 23 24 90
78 16 8 38
83 8 10 86
84 20 8 82
86 18 4 70


CLUSTER 5
A D X Y 
0 0 0 0
89 19 0 6
91 21 -2 78
97 15 -12 88
97 36 -10 80
100 8 -12 62


CLUSTER 6
A D X Y 
0 0 0 0
101 23 -18 88
105 3 -16 56
109 19 -12 34
113 23 -8 18
114 6 -40 88
117 19 -40 78


CLUSTER 7
A D X Y 
0 0 0 0
118 17 -42 78
122 2 -20 32
123 19 -52 80
126 13 -48 64
126 13 -38 52
127 13 -60 78
128 12 -44 56


CLUSTER 8
A D X Y 
0 0 0 0
129 23 -40 48
130 9 -44 52


Distance for  Cluster 1

13
0 71.0211 11.6619 62.7694 51.8845 62.6099 48.0833 31.0483 60.531 54.037 12.1655 28.0713 27.8568 
71.0211 0 59.3633 8.48528 19.799 10.7703 27.7849 42.4264 30 36.4966 62.482 95.0789 90.4434 
11.6619 59.3633 0 51.1077 40.2492 50.9902 36.8782 20.0998 50.04 44.1814 8.24621 38.2099 36.2215 
62.7694 8.48528 51.1077 0 11.3137 4.47214 19.6977 33.9411 24.7386 30 54.037 87.3155 82.9699 
51.8845 19.799 40.2492 11.3137 0 10.7703 10 22.6274 21.2603 23.4094 42.8019 77.201 73.3485 
62.6099 10.7703 50.9902 4.47214 10.7703 0 17.2047 32.8024 20.3961 26.0768 53.2541 87.9318 83.9524 
48.0833 27.7849 36.8782 19.6977 10 17.2047 0 17.088 15.2315 14.4222 37.5766 74.9667 72.111 
31.0483 42.4264 20.0998 33.9411 22.6274 32.8024 17.088 0 30 24.7386 20.5913 58.3095 56.0357 
60.531 30 50.04 24.7386 21.2603 20.3961 15.2315 30 0 8.48528 49.0306 88.2043 86.0233 
54.037 36.4966 44.1814 30 23.4094 26.0768 14.4222 24.7386 8.48528 0 42.19 82 80.399 
12.1655 62.482 8.24621 54.037 42.8019 53.2541 37.5766 20.5913 49.0306 42.19 0 40.1995 39.8497 
28.0713 95.0789 38.2099 87.3155 77.201 87.9318 74.9667 58.3095 88.2043 82 40.1995 0 8.24621 
27.8568 90.4434 36.2215 82.9699 73.3485 83.9524 72.111 56.0357 86.0233 80.399 39.8497 8.24621 0 


Distance for  Cluster 2

10
