After sorting
A D X Y 
0 0 0 0
2 12 39 2
7 5 38 5
10 7 22 4
11 10 59 12
23 19 48 21
23 21 61 26
24 7 60 27
36 12 38 28
43 20 15 14
46 22 24 25
47 17 29 32
47 23 11 12
53 15 24 33
55 11 22 32
68 10 14 35
101 11 -6 29
126 4 -11 15
145 21 -22 15
184 14 -27 -2
188 15 -27 -4
201 19 -25 -10
202 17 -31 -13
209 10 -26 -15
213 11 -23 -15
220 15 -15 -13
221 25 -20 -18
225 7 -22 -22
228 24 -21 -24
234 12 -17 -24
235 18 -35 -50
237 12 -26 -41
243 2 -3 -6
253 14 -15 -50
253 36 -15 -50
278 11 5 -34
281 13 5 -25
282 3 13 -58
283 11 10 -42
285 16 5 -18
288 6 21 -62
289 22 5 -14
290 18 21 -57
298 22 11 -20
304 7 33 -48
306 10 6 -8
307 13 45 -58
318 20 54 -47
319 24 61 -53
320 25 52 -43
329 10 48 -28
337 20 45 -19
339 66 53 -20
343 3 58 -17
356 21 30 -2


CLUSTER 1
A D X Y 
0 0 0 0
145 21 -22 15
184 14 -27 -2
188 15 -27 -4
201 19 -25 -10
202 17 -31 -13
209 10 -26 -15


CLUSTER 2
A D X Y 
0 0 0 0
213 11 -23 -15
220 15 -15 -13
221 25 -20 -18
225 7 -22 -22
228 24 -21 -24
234 12 -17 -24


CLUSTER 3
A D X Y 
0 0 0 0
235 18 -35 -50
237 12 -26 -41
243 2 -3 -6
253 14 -15 -50
253 36 -15 -50
278 11 5 -34


CLUSTER 4
A D X Y 
0 0 0 0
281 13 5 -25
282 3 13 -58
283 11 10 -42
285 16 5 -18
288 6 21 -62
289 22 5 -14
290 18 21 -57


CLUSTER 5
A D X Y 
0 0 0 0
298 22 11 -20
304 7 33 -48
306 10 6 -8
307 13 45 -58
318 20 54 -47
319 24 61 -53


CLUSTER 6
A D X Y 
0 0 0 0
320 25 52 -43
329 10 48 -28
337 20 45 -19


CLUSTER 7
A D X Y 
0 0 0 0
339 66 53 -20
343 3 58 -17
356 21 30 -2


CLUSTER 8
A D X Y 
2 12 39 2
7 5 38 5
10 7 22 4
11 10 59 12
23 19 48 21
23 21 61 26
24 7 60 27
36 12 38 28


CLUSTER 9
A D X Y 
0 0 0 0
43 20 15 14
46 22 24 25
47 17 29 32
47 23 11 12
53 15 24 33


CLUSTER 10
A D X Y 
0 0 0 0
55 11 22 32
68 10 14 35
101 11 -6 29
126 4 -11 15


Distance for  Cluster 1

7
0 26.6271 27.074 27.2947 26.9258 33.6155 30.0167 
26.6271 0 17.72 19.6469 25.1794 29.4109 30.2655 
27.074 17.72 0 2 8.24621 11.7047 13.0384 
27.2947 19.6469 2 0 6.32456 9.84886 11.0454 
26.9258 25.1794 8.24621 6.32456 0 6.7082 5.09902 
33.6155 29.4109 11.7047 9.84886 6.7082 0 5.38516 
30.0167 30.2655 13.0384 11.0454 5.09902 5.38516 0 


Distance for  Cluster 2

7
0 27.4591 19.8494 26.9072 31.1127 31.8904 29.4109 
27.4591 0 8.24621 4.24264 7.07107 9.21954 10.8167 
19.8494 8.24621 0 7.07107 11.4018 12.53 11.1803 
26.9072 4.24264 7.07107 0 4.47214 6.08276 6.7082 
31.1127 7.07107 11.4018 4.47214 0 2.23607 5.38516 
31.8904 9.21954 12.53 6.08276 2.23607 0 4 
29.4109 10.8167 11.1803 6.7082 5.38516 4 0 


Distance for  Cluster 3

7
0 61.0328 48.5489 6.7082 52.2015 52.2015 34.3657 
61.0328 0 12.7279 54.4059 20 20 43.0813 
48.5489 12.7279 0 41.8808 14.2127 14.2127 31.7805 
6.7082 54.4059 41.8808 0 45.607 45.607 29.1204 
52.2015 20 14.2127 45.607 0 0 25.6125 
52.2015 20 14.2127 45.607 0 0 25.6125 
34.3657 43.0813 31.7805 29.1204 25.6125 25.6125 0 


Distance for  Cluster 4

8
0 25.4951 59.439 43.1741 18.6815 65.4599 14.8661 60.7454 
25.4951 0 33.9559 17.72 7 40.3113 11 35.7771 
59.439 33.9559 0 16.2788 40.7922 8.94427 44.7214 8.06226 
43.1741 17.72 16.2788 0 24.5153 22.8254 28.4429 18.6011 
18.6815 7 40.7922 24.5153 0 46.8188 4 42.1545 
65.4599 40.3113 8.94427 22.8254 46.8188 0 50.5964 5 
14.8661 11 44.7214 28.4429 4 50.5964 0 45.8803 
60.7454 35.7771 8.06226 18.6011 42.1545 5 45.8803 0 


Distance for  Cluster 5

7
0 22.8254 58.2495 10 73.4098 71.5891 80.8084 
22.8254 0 35.609 13 50.9902 50.774 59.9083 
58.2495 35.609 0 48.2597 15.6205 21.0238 28.4429 
10 13 48.2597 0 63.4114 61.8466 71.0634 
73.4098 50.9902 15.6205 63.4114 0 14.2127 16.7631 
71.5891 50.774 21.0238 61.8466 14.2127 0 9.21954 
80.8084 59.9083 28.4429 71.0634 16.7631 9.21954 0 


Distance for  Cluster 6

4
0 67.4759 55.5698 48.8467 
67.4759 0 15.5242 25 
55.5698 15.5242 0 9.48683 
48.8467 25 9.48683 0 


Distance for  Cluster 7

4
0 56.648 60.4401 30.0666 
56.648 0 5.83095 29.2062 
