After sorting
A D X Y 
0 0 0 0
4 18 26 2
7 15 30 4
10 12 32 6
11 2 10 2
17 16 26 8
32 23 32 20
53 11 6 8
53 12 18 24
53 16 24 32
62 10 18 34
68 13 4 10
69 9 16 42
71 8 12 36
86 12 2 36
94 6 -4 48
100 10 -12 62
103 2 -12 50
109 27 -10 28
113 11 -24 54
114 18 -26 58
124 9 -22 32
128 14 -30 38
131 3 -32 36
133 14 -34 36
134 5 -26 26
138 23 -38 34
138 24 -38 34
141 22 -56 44
141 22 -48 38
146 3 -60 40
146 17 -46 30
155 20 -40 18
159 18 -16 6
160 19 -28 10
163 7 -40 12
165 9 -48 12
168 19 -60 12
169 72 -42 8
171 12 -38 6
173 12 -56 6
176 16 -36 2
179 22 -14 0
179 24 -14 0
185 19 -42 -4
194 20 -8 -2
204 4 -26 -12
208 11 -30 -16
226 15 -30 -32
231 18 -8 -10
243 19 -14 -28
250 18 -12 -34
255 6 -8 -32
274 19 2 -28
284 8 6 -24
285 7 4 -14
303 14 8 -12
333 4 20 -10
333 12 28 -14
338 16 36 -14
356 18 36 -2


CLUSTER 1
A D X Y 
0 0 0 0
226 15 -30 -32
231 18 -8 -10
243 19 -14 -28
250 18 -12 -34
255 6 -8 -32
274 19 2 -28


CLUSTER 2
A D X Y 
0 0 0 0
284 8 6 -24
285 7 4 -14
303 14 8 -12
333 4 20 -10
333 12 28 -14
338 16 36 -14
356 18 36 -2
4 18 26 2


CLUSTER 3
A D X Y 
0 0 0 0
7 15 30 4
10 12 32 6
11 2 10 2
17 16 26 8
32 23 32 20
53 11 6 8
53 12 18 24


CLUSTER 4
A D X Y 
0 0 0 0
53 16 24 32
62 10 18 34
68 13 4 10
69 9 16 42
71 8 12 36
86 12 2 36
94 6 -4 48
100 10 -12 62
103 2 -12 50


CLUSTER 5
A D X Y 
0 0 0 0
109 27 -10 28
113 11 -24 54
114 18 -26 58
124 9 -22 32
128 14 -30 38
131 3 -32 36
133 14 -34 36


CLUSTER 6
A D X Y 
0 0 0 0
134 5 -26 26
138 23 -38 34
138 24 -38 34
141 22 -56 44
141 22 -48 38
146 3 -60 40


CLUSTER 7
A D X Y 
0 0 0 0
146 17 -46 30
155 20 -40 18
159 18 -16 6
160 19 -28 10
163 7 -40 12
165 9 -48 12


CLUSTER 8
A D X Y 
0 0 0 0
168 19 -60 12
169 72 -42 8


CLUSTER 9
A D X Y 
0 0 0 0
171 12 -38 6
173 12 -56 6
176 16 -36 2
179 22 -14 0
179 24 -14 0


CLUSTER 10
A D X Y 
0 0 0 0
185 19 -42 -4
194 20 -8 -2
204 4 -26 -12
208 11 -30 -16


Distance for  Cluster 1

7
0 43.8634 12.8062 31.305 36.0555 32.9848 28.0713 
43.8634 0 31.1127 16.4924 18.1108 22 32.249 
12.8062 31.1127 0 18.9737 24.3311 22 20.5913 
31.305 16.4924 18.9737 0 6.32456 7.2111 16 
36.0555 18.1108 24.3311 6.32456 0 4.47214 15.2315 
32.9848 22 22 7.2111 4.47214 0 10.7703 
28.0713 32.249 20.5913 16 15.2315 10.7703 0 


Distance for  Cluster 2

9
0 24.7386 14.5602 14.4222 22.3607 31.305 38.6264 36.0555 26.0768 
24.7386 0 10.198 12.1655 19.799 24.1661 31.6228 37.2022 32.8024 
14.5602 10.198 0 4.47214 16.4924 24 32 34.176 27.2029 
14.4222 12.1655 4.47214 0 12.1655 20.0998 28.0713 29.7321 22.8035 
22.3607 19.799 16.4924 12.1655 0 8.94427 16.4924 17.8885 13.4164 
31.305 24.1661 24 20.0998 8.94427 0 8 14.4222 16.1245 
38.6264 31.6228 32 28.0713 16.4924 8 0 12 18.868 
36.0555 37.2022 34.176 29.7321 17.8885 14.4222 12 0 10.7703 
26.0768 32.8024 27.2029 22.8035 13.4164 16.1245 18.868 10.7703 0 


Distance for  Cluster 3

8
0 30.2655 32.5576 10.198 27.2029 37.7359 10 30 
30.2655 0 2.82843 20.0998 5.65685 16.1245 24.3311 23.3238 
32.5576 2.82843 0 22.3607 6.32456 14 26.0768 22.8035 
10.198 20.0998 22.3607 0 17.088 28.4253 7.2111 23.4094 
27.2029 5.65685 6.32456 17.088 0 13.4164 20 17.8885 
37.7359 16.1245 14 28.4253 13.4164 0 28.6356 14.5602 
10 24.3311 26.0768 7.2111 20 28.6356 0 20 
30 23.3238 22.8035 23.4094 17.8885 14.5602 20 0 


Distance for  Cluster 4

10
0 40 38.4708 10.7703 44.9444 37.9473 36.0555 48.1664 63.1506 51.4198 
40 0 6.32456 29.7321 12.8062 12.6491 22.3607 32.249 46.8615 40.2492 
38.4708 6.32456 0 27.7849 8.24621 6.32456 16.1245 26.0768 41.0366 34 
